fid,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,ZIP
"238","76179","76179",B5,G6350,S,"139904361","17032191","+32.9135217","-097.4338354",76179
"239","76180","76180",B5,G6350,S,"24386745","101022","+32.8400111","-097.2252946",76180
"240","76182","76182",B5,G6350,S,"22751763","1302","+32.8862007","-097.2077306",76182
"241","76201","76201",B5,G6350,S,"14448944","81984","+33.2209735","-097.1460376",76201
"242","76205","76205",B5,G6350,S,"21936314","125677","+33.1926316","-097.1292657",76205
"243","76207","76207",B5,G6350,S,"95304006","724917","+33.2278500","-097.1818230",76207
"244","76208","76208",B5,G6350,S,"70160655","17552796","+33.2086298","-097.0554087",76208
"245","76209","76209",B5,G6350,S,"16969752","0","+33.2315518","-097.1098707",76209
"246","76210","76210",B5,G6350,S,"41604478","1197538","+33.1494668","-097.0960156",76210
"247","76226","76226",B5,G6350,S,"123494764","1998278","+33.1147142","-097.1739095",76226
"248","76227","76227",B5,G6350,S,"205650539","11610864","+33.2736030","-096.9900417",76227
"249","76234","76234",B5,G6350,S,"804779255","2290427","+33.2763185","-097.5141785",76234
"250","76240","76240",B5,G6350,S,"957004528","8142977","+33.6616023","-097.1763687",76240
"251","76244","76244",B5,G6350,S,"44546007","191153","+32.9280374","-097.2839141",76244
"252","76247","76247",B5,G6350,S,"186099348","764668","+33.0999933","-097.3404989",76247
"253","76248","76248",B5,G6350,S,"37377638","102168","+32.9240050","-097.2251458",76248
"254","76249","76249",B5,G6350,S,"173953531","3136295","+33.2788233","-097.3023098",76249
"255","76623","76623",B5,G6350,S,"13132338","69989","+32.2111227","-096.7528266",76623
"256","76626","76626",B5,G6350,S,"105937655","1059926","+32.1229970","-096.7230820",76626
"257","76627","76627",B5,G6350,S,"229345817","4840481","+32.1085117","-097.3958150",76627
"258","76636","76636",B5,G6350,S,"112330498","933886","+32.1707520","-097.2914758",76636
"259","76641","76641",B5,G6350,S,"194432224","8624182","+32.0386874","-096.8079316",76641
"260","76258","76258",B5,G6350,S,"231156063","2936196","+33.3711131","-096.9324108",76258
"261","76259","76259",B5,G6350,S,"146731060","1644736","+33.1987041","-097.3116280",76259
"262","76262","76262",B5,G6350,S,"117372597","2708738","+33.0093346","-097.2267197",76262
"263","76266","76266",B5,G6350,S,"311403781","27796618","+33.3728777","-097.2132472",76266
"264","76271","76271",B5,G6350,S,"102373144","33704829","+33.4646373","-096.8927626",76271
"265","76272","76272",B5,G6350,S,"256213038","50023503","+33.4559728","-097.1271342",76272
"266","76651","76651",B5,G6350,S,"267174500","2756123","+32.1777102","-096.8511836",76651
"267","76652","76652",B5,G6350,S,"225632517","5935756","+32.1175381","-097.5756012",76652
"268","76666","76666",B5,G6350,S,"42418420","472634","+32.0439763","-096.9145801",76666
"269","76670","76670",B5,G6350,S,"181463091","1844114","+32.1360180","-096.9889628",76670
"270","75474","75474",B5,G6350,S,"277880684","61964725","+32.9241998","-096.1098111",75474
