GEOID,NAME,tot_popE,med_incE,giniE,pop_u18E,pop_bpE,bp_u18E,year,bp_per,cbp_per,type
48113000702,"Census Tract 7.02, Dallas County, Texas",3167,58074,0.4972,256,606,120,2012,0.191348279128513,0.46875,Tract
48113000800,"Census Tract 8, Dallas County, Texas",6096,36897,0.4714,1414,1632,654,2012,0.267716535433071,0.462517680339463,Tract
48113000900,"Census Tract 9, Dallas County, Texas",4361,30753,0.4942,950,2056,783,2012,0.471451501949094,0.82421052631579,Tract
48113001001,"Census Tract 10.01, Dallas County, Texas",1652,70000,0.5184,178,70,0,2012,0.0423728813559322,0,Tract
48113001002,"Census Tract 10.02, Dallas County, Texas",2274,54695,0.3303,352,246,56,2012,0.108179419525066,0.159090909090909,Tract
48113001101,"Census Tract 11.01, Dallas County, Texas",3592,55186,0.5221,558,556,167,2012,0.154788418708241,0.299283154121864,Tract
48113001102,"Census Tract 11.02, Dallas County, Texas",2202,85694,0.4636,291,53,0,2012,0.0240690281562216,0,Tract
48113001202,"Census Tract 12.02, Dallas County, Texas",3112,40848,0.4758,561,602,215,2012,0.193444730077121,0.383244206773619,Tract
48113001203,"Census Tract 12.03, Dallas County, Texas",1649,72500,0.4091,407,250,128,2012,0.151607034566404,0.314496314496315,Tract
48113001204,"Census Tract 12.04, Dallas County, Texas",2793,26786,0.4463,779,1151,430,2012,0.412101682778374,0.55198973042362,Tract
48113001301,"Census Tract 13.01, Dallas County, Texas",2398,42454,0.4689,286,461,46,2012,0.192243536280234,0.160839160839161,Tract
48113001302,"Census Tract 13.02, Dallas County, Texas",2169,41761,0.5728,474,437,135,2012,0.201475334255417,0.284810126582279,Tract
48113001400,"Census Tract 14, Dallas County, Texas",3473,35573,0.5481,927,993,436,2012,0.28591995393032,0.470334412081985,Tract
48113001502,"Census Tract 15.02, Dallas County, Texas",3437,40612,0.4158,840,868,333,2012,0.252545824847251,0.396428571428571,Tract
48113001503,"Census Tract 15.03, Dallas County, Texas",3305,20088,0.4316,849,1766,700,2012,0.534341906202723,0.824499411071849,Tract
48113001504,"Census Tract 15.04, Dallas County, Texas",2466,26563,0.5016,436,776,248,2012,0.314679643146796,0.568807339449541,Tract
48113001600,"Census Tract 16, Dallas County, Texas",4299,45035,0.5358,992,1690,649,2012,0.393114677832054,0.654233870967742,Tract
48113001701,"Census Tract 17.01, Dallas County, Texas",162,102212,0.3374,12,0,0,2012,0,0,Tract
48113001703,"Census Tract 17.03, Dallas County, Texas",2857,101301,0.3975,40,113,0,2012,0.0395519775988799,0,Tract
48113001704,"Census Tract 17.04, Dallas County, Texas",1168,116397,0.3362,24,34,0,2012,0.0291095890410959,0,Tract
48113001800,"Census Tract 18, Dallas County, Texas",3472,59954,0.3739,85,170,0,2012,0.048963133640553,0,Tract
48113001900,"Census Tract 19, Dallas County, Texas",4515,80789,0.4964,224,546,214,2012,0.12093023255814,0.955357142857143,Tract
48113002000,"Census Tract 20, Dallas County, Texas",5944,31946,0.453,1675,2239,1016,2012,0.376682368775236,0.606567164179105,Tract
48113002100,"Census Tract 21, Dallas County, Texas",1339,75341,0.3427,29,122,16,2012,0.0911127707244212,0.551724137931035,Tract
